2和暦,3西暦コード,4タイトル,5版種類,6数量,7書誌事項,8形態分類,9内容分類,10地名,12目録番号,16所蔵機関（名称）,年号,閏,月,日
安政5年,18580099099,白人市引札,木版,１枚,19.5×14.5　「現金亭正味、手附庵三日、松乃舎」とあり,Ｗ,10,尾張？,16-A00-6010-1-1,東京大学総合図書館-A00-6010-1-1,安政５,,,
嘉永6年,18530099099,嘉永校定東西地球万国全図,木版,１枚,22.0×15.5　東都文渓堂梓、栗原信晁再校、為斎画、但し包紙のみ、オランダ語でKAARTとあり,,15,江戸,16-A00-6010-1-2,東京大学総合図書館-A00-6010-1-2,嘉永６,,,
安政6年1月,18590001099,芽子垣内月並兼題,木版,１枚,15.5×20.7　１月は春従東来とこうばい、１２月は炭竃炯細とひかげ,,10,尾張,16-A00-6010-1-3,東京大学総合図書館-A00-6010-1-3,安政６,,1,
安政6年1月,18590001099,〔安政六年詩暦〕,木版,１枚,15.0×10.5　晋庵作、「題羊毫己未詩暦」とあり,θ,4,尾張,16-A00-6010-1-4,東京大学総合図書館-A00-6010-1-4,安政６,,1,
安政5年,18580099099,〔勢州桑名志賀屋九八郎製時雨蛤引札〕,木版,１枚,7.7×7.5　一部朱を用いている,Ｗ,7,伊勢,16-A00-6010-1-5,東京大学総合図書館-A00-6010-1-5,安政５,,,
安政5年,18580099099,十二月御幸せんべい引札,木版,１枚,10.0　円型のもの、名古屋魚の棚呉服町西エ入梅鉢屋又右衛門,Ｗ,7,尾張,16-A00-6010-1-6,東京大学総合図書館-A00-6010-1-6,安政５,,,
安政5年,18580099099,〔尾州御免濃州可児郡兼山藤掛氏製久繁蔵家引札〕,木版,１枚,7.5×4.3,Ｗ,3,美濃,16-A00-6010-1-7,東京大学総合図書館-A00-6010-1-7,安政５,,,
安政5年,18580099099,〔ラテン語薬品ラベル〕,活版,１枚,4.0×7.5　ACETAS PLUMBICUS、またオランダ語でAzijnzuurbodoxijdeとあり,,3,外国,16-A00-6010-1-8,東京大学総合図書館-A00-6010-1-8,安政５,,,
安政4年,18570099099,箱館通宝摺取図,,１枚,4.7×7.5　表と裏あり,,7,北海道,16-A00-6010-1-9,東京大学総合図書館-A00-6010-1-9,安政４,,,
安政5年,18580099099,〔米国１セント貨摺取図〕,,１枚,8.0×3.6　表と裏あり、ONE CENT、UNITED STATES OF AMERICAとあり,,6,外国,16-A00-6010-1-10,東京大学総合図書館-A00-6010-1-10,安政５,,,
安政5年10月,18580010099,〔安政六年印影大小暦〕,木版,１枚,15.3×20.7　東田、青峩、月景、青嵐が古語を戯れに鐫したものを、白文を大の月、朱文を小の月に配して大小暦に仕立てたもの、安政５年１０月の東田の識語あり、また包紙あり,θ,4,尾張,16-A00-6010-1-11,東京大学総合図書館-A00-6010-1-11,安政５,,10,
安政6年1月,18590001099,〔安政六年大小暦〕,木版,１枚,17.6×4.6　神武、清、印度、西洋ユリウス、西洋グレゴリオ、西洋、トルコ、メリケン暦での紀元を記す、柳河春三楊江の作、中空で、そこに「伊藤圭二様　伊藤左太郎」と墨書あり、１９の包紙か？,θ,4,江戸,16-A00-6010-1-12,東京大学総合図書館-A00-6010-1-12,安政６,,1,
安政5年,18580099099,金米糖引札,木版,１枚,8.2×4.2,Ｗ,7,尾張,16-A00-6010-1-13,東京大学総合図書館-A00-6010-1-13,安政５,,,
安政5年,18580099099,〔名古屋長者町６丁目菊屋正祐菓子所引札〕,木版,１枚,6.2×3.5,Ｗ,7,尾張,16-A00-6010-1-14,東京大学総合図書館-A00-6010-1-14,安政５,,,
安政5年,18580099099,〔名古屋日置平野屋伝助おきな豆引札〕,木版,１枚,8.0×5.5　大坂根元とあり,Ｗ,7,尾張,16-A00-6010-1-15,東京大学総合図書館-A00-6010-1-15,安政５,,,
安政5年,18580099099,〔名古屋末広町江戸屋林蔵風流三すし引札〕,木版,１枚,7.0×5.5　本家江戸木挽町五丁目鮓店、名古屋は出店,Ｗ,7,尾張,16-A00-6010-1-16,東京大学総合図書館-A00-6010-1-16,安政５,,,
安政5年,18580099099,尾張洋学館蔵書票,木版,１枚,8.5×4.5　「不出門闥、厳禁貸売」とあり,,10,尾張,16-A00-6010-1-17,東京大学総合図書館-A00-6010-1-17,安政５,,,
安政5年,18580099099,〔名古屋押切１丁目大和屋万助菓子所引札〕,木版,１枚,6.0×3.7,Ｗ,7,尾張,16-A00-6010-1-18,東京大学総合図書館-A00-6010-1-18,安政５,,,
安政5年8月,18580008099,安政六己未年略暦,木版,１枚,17.5×23.0　辛酉月とある故８月とする、丹鶴書院刊、大脇虎之助推歩、柳河春三対校、１２は本略暦の包紙か？,θ,4,江戸,16-A00-6010-1-19,東京大学総合図書館-A00-6010-1-19,安政５,,8,
安政5年,18580099099,〔蘭語アルファベット・数字書入封筒〕,木版,１枚,17.5×8.5　寸法は封筒を開いた形のもの、博采館とあり、,,10,尾張？,16-A00-6010-1-20,東京大学総合図書館-A00-6010-1-20,安政５,,,
安政5年,18580099099,〔名古屋□□町杉本屋□義菓子所引札〕,木版,１枚,5.7×3.2,Ｗ,7,尾張,16-A00-6010-1-21,東京大学総合図書館-A00-6010-1-21,安政５,,,
安政5年,18580099099,〔名古屋京町通諸町吉良屋正続菓子所引札〕,木版,１枚,5.0×3.0,Ｗ,7,尾張,16-A00-6010-1-22,東京大学総合図書館-A00-6010-1-22,安政５,,,
安政5年,18580099099,〔名古屋長者町６丁目□□□□□□□引札〕,木版,１枚,6.2×3.5,Ｗ,7,尾張,16-A00-6010-1-23,東京大学総合図書館-A00-6010-1-23,安政５,,,
安政5年,18580099099,〔美濃国可児郡兼山下町山形屋市右衛門店引札〕,木版,１枚,5.0×2.8,Ｗ,7,美濃,16-A00-6010-1-24,東京大学総合図書館-A00-6010-1-24,安政５,,,
安政5年,18580099099,江戸小石川観音前亀井製薬はみがき引札,木版,１枚,6.0×4.7　根元本家とあり,Ｗ,7,江戸,16-A00-6010-1-25,東京大学総合図書館-A00-6010-1-25,安政５,,,
安政5年,18580099099,〔名古屋中市場町柏屋□□菓子所引札〕,木版,１枚,5.5×3.5,Ｗ,7,尾張,16-A00-6010-1-26,東京大学総合図書館-A00-6010-1-26,安政５,,,
安政5年,18580099099,秩父館引札,木版,１枚,2.5×3.0,Ｗ,7,不明,16-A00-6010-1-27,東京大学総合図書館-A00-6010-1-27,安政５,,,
安政5年,18580099099,〔名古屋本町１丁目桔梗屋又兵衛店引札〕,木版,１枚,3.3×2.4,Ｗ,7,尾張,16-A00-6010-1-28,東京大学総合図書館-A00-6010-1-28,安政５,,,
安政5年,18580099099,〔尾陽津島橋詰町丁子屋信智菓子所引札〕,木版,１枚,6.5×3.7,Ｗ,7,尾張,16-A00-6010-1-29,東京大学総合図書館-A00-6010-1-29,安政５,,,
安政6年1月,18590001099,菊屋兼題,木版,１枚,15.3×39.8　毎月六之日、会始正月十六日、二首懐紙、正月は瀧音知春他２題、１２月は海辺雪他２題,,10,尾張,16-A00-6010-1-30,東京大学総合図書館-A00-6010-1-30,安政６,,1,
安政5年,18580099099,蒸菓子引札,木版,１枚,8.3×4.4,Ｗ,7,尾張,16-A00-6010-1-31,東京大学総合図書館-A00-6010-1-31,安政５,,,
安政5年,18580099099,〔熱田築出町蓬莱屋伊助菓子所引札〕,木版,１枚,6.7×4.8,Ｗ,7,尾張,16-A00-6010-1-32,東京大学総合図書館-A00-6010-1-32,安政５,,,
安政5年,18580099099,〔名古屋中市場町生田儀助筆墨硯店引札〕,木版,１枚,7.0×4.3　京都成文堂製筆取次所とあり,Ｗ,7,尾張,16-A00-6010-1-33,東京大学総合図書館-A00-6010-1-33,安政５,,,
安政5年,18580099099,〔名古屋杉町通呉服町角吉の屋清水菓子所引札〕,木版,１枚,3.7×2.8,Ｗ,7,尾張,16-A00-6010-1-34,東京大学総合図書館-A00-6010-1-34,安政５,,,
安政5年,18580099099,〔名古屋江川町一瓢園製菓子司引札〕,木版,１枚,4.3×3.0,Ｗ,7,尾張,16-A00-6010-1-35,東京大学総合図書館-A00-6010-1-35,安政５,,,
安政5年,18580099099,〔絵花火〕,木版,１枚,8.5×12.0　猟師が猪を射つの図,,15,尾張？,16-A00-6010-1-36,東京大学総合図書館-A00-6010-1-36,安政５,,,
安政6年1月,18590001099,安政六年歳次己未須弥界由旬暦略書,木版,１枚,16.2×21.0　張府中野友安（製）,θ,4,尾張,16-A00-6010-1-37,東京大学総合図書館-A00-6010-1-37,安政６,,1,
安政5年,18580099099,〔浪華高麗橋１丁目名家筆工大梅園引札〕,木版,１枚,7.2×3.8　南都御油湮墨所諸国名石御硯所とあり,Ｗ,7,大阪,16-A00-6010-1-38,東京大学総合図書館-A00-6010-1-38,安政５,,,
安政5年,18580099099,〔□神明町大道沈香屋八兵衛店引札〕,木版,１枚,7.2×3.8,Ｗ,7,尾張？,16-A00-6010-1-39,東京大学総合図書館-A00-6010-1-39,安政５,,,
安政5年,18580099099,〔名古屋本町通１２丁目中村屋惣太郎茶菓子所引札〕,木版,１枚,6.7×4.8,Ｗ,7,尾張,16-A00-6010-1-40,東京大学総合図書館-A00-6010-1-40,安政５,,,
安政5年,18580099099,蒸菓子引札,木版,１枚,7.3×6.5,Ｗ,7,尾張？,16-A00-6010-1-41,東京大学総合図書館-A00-6010-1-41,安政５,,,
安政5年,18580099099,〔尾陽津島横町桑名屋康利菓子司引札〕,木版,１枚,5.5×4.0,Ｗ,7,尾張,16-A00-6010-1-42,東京大学総合図書館-A00-6010-1-42,安政５,,,
安政5年,18580099099,〔信州清内路橋本製某品引札〕,木版,１枚,6.8×3.5,Ｗ,7,信濃,16-A00-6010-1-43,東京大学総合図書館-A00-6010-1-43,安政５,,,
